input,action,messageToShow,body,subject
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Make a call to Sarah,Call,Calling now.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Make a call to Sarah,Call,Calling now.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Open Instagram,Instagram,Opening Instagram.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Call Dad,Call,Calling now.,,
Call Dad,Call,Calling now.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Dial John's number,Call,Calling now.,,
Make a call to Sarah,Call,Calling now.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Open Instagram,Instagram,Opening Instagram.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the weather like in Lahore?,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Post a story on Instagram,Instagram,Opening Instagram.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Is it going to rain today?,Weather,Fetching weather.,,
Open Instagram,Instagram,Opening Instagram.,,
Call Dad,Call,Calling now.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Make a call to Sarah,Call,Calling now.,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Check my Instagram notifications,Instagram,Opening Instagram.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Make a call to Sarah,Call,Calling now.,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Dial John's number,Call,Calling now.,,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Call Dad,Call,Calling now.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Make a call to Sarah,Call,Calling now.,,
Call Dad,Call,Calling now.,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Call Dad,Call,Calling now.,,
Make a call to Sarah,Call,Calling now.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Dial John's number,Call,Calling now.,,
Is it going to rain today?,Weather,Fetching weather.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
What's the weather like in Lahore?,Weather,Fetching weather.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Make a call to Sarah,Call,Calling now.,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Post a story on Instagram,Instagram,Opening Instagram.,,
Dial John's number,Call,Calling now.,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Is it going to rain today?,Weather,Fetching weather.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Call Dad,Call,Calling now.,,
Open Instagram,Instagram,Opening Instagram.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Make a call to Sarah,Call,Calling now.,,
Is it going to rain today?,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the weather like in Lahore?,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Is it going to rain today?,Weather,Fetching weather.,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Open Instagram,Instagram,Opening Instagram.,,
Call Dad,Call,Calling now.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Call Dad,Call,Calling now.,,
Is it going to rain today?,Weather,Fetching weather.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Open Instagram,Instagram,Opening Instagram.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Check my Instagram notifications,Instagram,Opening Instagram.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Is it going to rain today?,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Dial John's number,Call,Calling now.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Make a call to Sarah,Call,Calling now.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Open Instagram,Instagram,Opening Instagram.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Dial John's number,Call,Calling now.,,
Dial John's number,Call,Calling now.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Dial John's number,Call,Calling now.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Open Instagram,Instagram,Opening Instagram.,,
Is it going to rain today?,Weather,Fetching weather.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Dial John's number,Call,Calling now.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Make a call to Sarah,Call,Calling now.,,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Open Instagram,Instagram,Opening Instagram.,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Open Instagram,Instagram,Opening Instagram.,,
Dial John's number,Call,Calling now.,,
Open Instagram,Instagram,Opening Instagram.,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Call Dad,Call,Calling now.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Is it going to rain today?,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Dial John's number,Call,Calling now.,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Make a call to Sarah,Call,Calling now.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Is it going to rain today?,Weather,Fetching weather.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Make a call to Sarah,Call,Calling now.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Is it going to rain today?,Weather,Fetching weather.,,
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Is it going to rain today?,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Is it going to rain today?,Weather,Fetching weather.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Post a story on Instagram,Instagram,Opening Instagram.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Make a call to Sarah,Call,Calling now.,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Open Instagram,Instagram,Opening Instagram.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Call Dad,Call,Calling now.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Open Instagram,Instagram,Opening Instagram.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
What's the weather like in Lahore?,Weather,Fetching weather.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Check my Instagram notifications,Instagram,Opening Instagram.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Is it going to rain today?,Weather,Fetching weather.,,
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Dial John's number,Call,Calling now.,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Call Dad,Call,Calling now.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Send an email to John about the project deadline,SendEmail,Email will be sent.,Details about the task,Task Subject
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Post a story on Instagram,Instagram,Opening Instagram.,,
Call Dad,Call,Calling now.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
What's the weather like in Lahore?,Weather,Fetching weather.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Send a WhatsApp message to Mom saying I'll call later,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Check my Instagram notifications,Instagram,Opening Instagram.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Call Dad,Call,Calling now.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Make a call to Sarah,Call,Calling now.,,
Write an email to the manager regarding today's tasks,SendEmail,Email will be sent.,Details about the task,Task Subject
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
Wake me up in 2 hours,SetAlarm,Alarm set.,,
Set up a meeting with Alice on Friday at 2 PM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Wake me up in 2 hours,SetAlarm,Alarm set.,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Make a call to Sarah,Call,Calling now.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Call Dad,Call,Calling now.,,
What's the summary of my inbox?,SummaryOfEmails,Press the button to get summary,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Make a call to Sarah,Call,Calling now.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Post a story on Instagram,Instagram,Opening Instagram.,,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
Arrange a conference call with the design team,ScheduleMeeting,Meeting scheduled.,,Task Subject
Dial John's number,Call,Calling now.,,
Call Dad,Call,Calling now.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Email Sarah to confirm the meeting,SendEmail,Email will be sent.,Details about the task,Task Subject
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Open Instagram,Instagram,Opening Instagram.,,
Post a story on Instagram,Instagram,Opening Instagram.,,
Open Instagram,Instagram,Opening Instagram.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Message Sameer on WhatsApp about the project,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Set an alarm for 6 AM tomorrow,SetAlarm,Alarm set.,,
Dial John's number,Call,Calling now.,,
Dial John's number,Call,Calling now.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
Text Asad on WhatsApp about the dinner plan,TextWhatsApp,Message sent on WhatsApp.,Details about the task,
Remind me to wake up early for the gym,SetAlarm,Alarm set.,,
What's the weather like in Lahore?,Weather,Fetching weather.,,
Tell me the forecast for tomorrow,Weather,Fetching weather.,,
Make a call to Sarah,Call,Calling now.,,
Schedule a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled.,,Task Subject
Dial John's number,Call,Calling now.,,
Tell me about the unread messages in my email,SummaryOfEmails,Press the button to get summary,,
